poem_idx,analysis,concise_analysis,generated_prompt,reference_prompt,bleu,rouge1,rouge2,rougeL
0,"
        ### Instruction:
        Analyze the given poem and extract its emotional tone, metaphor, setting, motion, and generate a prompt based on the poem.

        ### Input Poem:
        đẩy hoa dun lá khỏi tay trời, <
> nghĩ lại tình duyên luống ngậm ngùi. <
> bắc yến nam hồng, thư mấy bức, <
> đông đào tây liễu, khách đôi nơi. <
> lửa ân, dập mãi sao không tắt, <
> biển ái, khơi hoài vẫn chẳng vơi. <
> đèn nguyệt trong xanh, mây chẳng bợn, <
> xin soi xét đến tấm lòng ai...

        ### Poem Analysis:
         - Emotional Tone: Melancholic, nostalgic, longing.
         - Metaphor: None explicitly stated but implicit in ""đèn nguyệt trong xanh"" (moonlight within green).
         - Setting: Past, possibly during winter or early spring when flowers are blooming.
         - Motion: Static, with an emphasis on stillness amidst nostalgia.
         - Prompt Generation:

Prompt generation is not provided as it requires human evaluation of poetic elements. However, I can provide you with some possible prompts","
        Cảm xúc: Melancholic, nostalgic, longing.
        Ẩn dụ: None explicitly stated but implicit in ""đèn nguyệt trong xanh"" (moonlight within green).
        Bối cảnh: Past, possibly during winter or early spring when flowers are blooming.
        Chuyển động: Static, with an emphasis on stillness amidst nostalgia.
        ","Đèn nguyệt trong xanh, cây hoa nở rộ, bóng mát trên lưng con người, cảm giác buồn chán và xa cách.","Một cảnh thiên nhiên với hoa lá và ánh đèn nguyệt, thể hiện nỗi buồn về tình yêu.",0.01291802583371725,0.5161290322580646,0.16666666666666666,0.32258064516129037
1,"
        ### Instruction:
        Analyze the given poem and extract its emotional tone, metaphor, setting, motion, and generate a prompt based on the poem.

        ### Input Poem:
        từ chốn thềm cung trộm dấu hương, <
> dễ xui tao khách mối sầu vương. <
> gió thông réo rắt rong đèn oán, <
> trăng hạnh chênh vênh dạng bóng dương. <
> nếu đã tình duyên dun dủi phận, <
> thì xin ân ái vẹn nên đường. <
> phong lưu đôi lứa đà ai dễ? <
> bụi tục chi cho bợn lóa gương.

        ### Poem Analysis:
         - Emotional Tone: Melancholic melancholy with undertones of longing.
         - Metaphor: The speaker compares their life to a thief stealing away from the realm of love (cung trộm dấu hương).
         - Setting: A moonlit night in a place where thieves operate (thềm cung trộm dấu hương), suggesting an atmosphere of secrecy and danger.
         - Motion: The wind whispers secrets through lanterns, evoking images of movement and mystery.
         -","
        Cảm xúc: Melancholic melancholy with undertones of longing.
        Ẩn dụ: The speaker compares their life to a thief stealing away from the realm of love (cung trộm dấu hương).
        Bối cảnh: A moonlit night in a place where thieves operate (thềm cung trộm dấu hương), suggesting an atmosphere of secrecy and danger.
        Chuyển động: The wind whispers secrets through lanterns, evoking images of movement and mystery.
        ","Moonlit night in a secret thieves' alley, with lanterns whispering secrets to the wind."" 
""Melancholic longing with hint of danger""
""Màu sắc: Xám, trắng, hồng""
""Phong cách cổ điển","Một buổi tối trăng sáng, gió nhẹ, đôi lứa ngồi bên nhau, thể hiện nỗi buồn và tình yêu.",0.0,0.2647058823529412,0.030303030303030307,0.17647058823529413
2,"
        ### Instruction:
        Analyze the given poem and extract its emotional tone, metaphor, setting, motion, and generate a prompt based on the poem.

        ### Input Poem:
        hợi sang xanh biếc ngọn đèn tàn, <
> gượng đốt lò vàng ngại với hương. <
> làn khói chập chờn vương nỗi nhớ : <
> cõi lòng thảng thốt nẫu đêm trường. <
> canh gà eo óc khua bên trướng, <
> hồi cuốc băn khoăn giục dưới tường. <
> mấy kẻ chung tình ai đã nhấp, <
> hay còn trằn trọc nỗi người thương!

        ### Poem Analysis:
         - Emotional Tone: Melancholic, nostalgic, longing.
         - Metaphor: ""hợi sang xanh biếc ngọn đèn tàn"" (the dawn breaks with green lanterns fading) is a metaphor for nostalgia and longing. The use of color green symbolizes growth and renewal but also implies that something beautiful has faded away.
         - Setting: A melancholic atmosphere in an old house or temple where memories lingered long after they were gone.
         - Motion: None explicitly","
        Cảm xúc: Melancholic, nostalgic, longing.
        Ẩn dụ: ""hợi sang xanh biếc ngọn đèn tàn"" (the dawn breaks with green lanterns fading) is a metaphor for nostalgia and longing. The use of color green symbolizes growth and renewal but also implies that something beautiful has faded away.
        Bối cảnh: A melancholic atmosphere in an old house or temple where memories lingered long after they were gone.
        Chuyển động: None explicitly
        ","Bức tường cũ trong đám mây xanh lá cây, ánh trăng yếu đi, cảm giác cô đơn và buồn bã.","Một đêm tĩnh lặng, ánh đèn tàn, âm thanh của khúc khải hoàn từ những nỗi nhớ.",0.009629943614188135,0.4642857142857143,0.0,0.32142857142857145
3,"
        ### Instruction:
        Analyze the given poem and extract its emotional tone, metaphor, setting, motion, and generate a prompt based on the poem.

        ### Input Poem:
        giờ tuất canh sang được mấy phần, <
> càng thêm ngao ngán bận lòng xuân. <
> nguyệt mờ trướng ngọc, khôn êm gối! <
> gió lạnh rêm hoa ngại lẻ chân! <
> nghĩ nỗi tình riêng khôn kẻ biết, <
> tưởng điều tâm sự, mấy người thân? <
> bóng dâu dù tỏ dù không tỏ! <
> tài tử giai nhân vốn nợ nần.

        ### Poem Analysis:
         - Emotional Tone: Melancholic (melancholy) with hints of nostalgia.
         - Metaphor: None explicitly stated but there are metaphors implicit in phrases like ""nguyệt mờ trướng ngọc"" which can be interpreted as comparing moonlight to silk or fabric that wraps around precious jewels.
         - Setting: Autumn evening at dusk when the sun sets slowly over mountains. The atmosphere is calm and serene before gradually becoming cold and dark.
         - Motion: Gradual descent into","
        Cảm xúc: Melancholic (melancholy) with hints of nostalgia.
        Ẩn dụ: None explicitly stated but there are metaphors implicit in phrases like ""nguyệt mờ trướng ngọc"" which can be interpreted as comparing moonlight to silk or fabric that wraps around precious jewels.
        Bối cảnh: Autumn evening at dusk when the sun sets slowly over mountains. The atmosphere is calm and serene before gradually becoming cold and dark.
        Chuyển động: Gradual descent into
        ","Cảnh: Mặt trời lặn qua núi trong mùa thu, ánh trăng mờ trên bầu trời.
Cảm xúc: Lương từ buồn, yên tĩnh dần lạnh.
Màu sắc: Xanh lá, trắng snow, màu nâu đất.
Phong cách nghệ thuật: Biền cổ điển.","Một buổi sáng xuân lạnh lẽo, có bóng dâu và gió lạnh, thể hiện nỗi buồn và tâm sự.",0.0,0.4646464646464647,0.1237113402061856,0.30303030303030304
4,"
        ### Instruction:
        Analyze the given poem and extract its emotional tone, metaphor, setting, motion, and generate a prompt based on the poem.

        ### Input Poem:
        trời xanh cao thẳm mấy tầng khơi, <
> nỡ để duyên ai luống thiệt thòi! <
> buồn đốt lò vàng hương nhạt khói, <
> sầu châm chén ngọc rượu không hơi. <
> lầu tây nguyệt gác mây lồng bóng, <
> ải bắc hồng sang bể tuyệt vời. <
> một mối chung tình tan mấy mảnh, <
> suối vàng, ai nhắn hộ đôi lời!

        ### Poem Analysis:
         - Emotional Tone: Melancholic (melancholy) with hints of longing.
         - Metaphor: None explicitly stated but implied through imagery and symbolism.
         - Setting: A dreamlike or fantastical world where time seems to stand still. The use of metaphors like ""trời xanh cao thẳm mấy tầng khơi"" suggests an infinite sky that stretches upwards infinitely.
         - Motion: Static or stagnant, as if time has stood still in this world. However, there","
        Cảm xúc: Melancholic (melancholy) with hints of longing.
        Ẩn dụ: None explicitly stated but implied through imagery and symbolism.
        Bối cảnh: A dreamlike or fantastical world where time seems to stand still. The use of metaphors like ""trời xanh cao thẳm mấy tầng khơi"" suggests an infinite sky that stretches upwards infinitely.
        Chuyển động: Static or stagnant, as if time has stood still in this world. However, there
        ","Cảnh: Một con đường hoang sơ dẫn đến một ngọn núi cao trong trời xanh cao thẳm mấy tầng khơi. 
Cảm xúc và không khí: Mịt màng, buồn rầu. 
Màu sắc chủ đạo: Xanh đậm, tím nhạt. 
Phong cách nghệ thuật: Huyền bí","Một không gian lãng mạn với bầu trời xanh, lầu tây, và một tâm trạng buồn bã.",0.006708839685423083,0.489795918367347,0.18750000000000003,0.36734693877551017
5,"
        ### Instruction:
        Analyze the given poem and extract its emotional tone, metaphor, setting, motion, and generate a prompt based on the poem.

        ### Input Poem:
        oanh ru bên trướng giấc hoa nồng, <
> say tỉnh hồn mai nhớ lại mong. <
> non nước mơ màng chừng chỉ lữ, <
> mây mưa phảng phất đỉnh vu phong. <
> quyên về viễn phố hoa rầu rĩ, <
> nhạn tếch hành dương nguyệt não nùng. <
> đàn tiếng ly loan tay ngại gẩy, <
> mối sầu ai gỡ hộ cho xong.

        ### Poem Analysis:
         - Emotional Tone: Melancholic melancholy with hints of longing.
         - Metaphor: The speaker's heart is compared to an old man who has lost his way in life (metaphorical expression).
         - Setting: A nostalgic scene set in a distant past where the speaker reminisces about their youth and love.
         - Motion: The speaker reflects on memories while sitting quietly by a riverbank at night.
         - Prompt Generation:

Prompt generation prompts are generated using natural language processing techniques","
        Cảm xúc: Melancholic melancholy with hints of longing.
        Ẩn dụ: The speaker's heart is compared to an old man who has lost his way in life (metaphorical expression).
        Bối cảnh: A nostalgic scene set in a distant past where the speaker reminisces about their youth and love.
        Chuyển động: The speaker reflects on memories while sitting quietly by a riverbank at night.
        ","Cảnh: Một người đàn ông ngồi yên bên bờ sông trong đêm, ánh trăng chiếu sáng mặt sông.
Cảm xúc và không khí: Mái tóc buồn rụt, ánh trăng dịu dàng
Màu sắc chủ đạo: Xanh lá cây, màu trắng
Phong cách nghệ thuật: Biền thể","Một bức tranh thiên nhiên lãng mạn với hoa nở, mây mưa và âm thanh của đàn, thể hiện nỗi buồn trong tình yêu.",0.005977500645731284,0.4695652173913043,0.10619469026548672,0.2956521739130435
6,"
        ### Instruction:
        Analyze the given poem and extract its emotional tone, metaphor, setting, motion, and generate a prompt based on the poem.

        ### Input Poem:
        tạo hóa khen thay khéo vẽ vời <
> dạm nên một rặng núi con voi <
> tới chầu điện ngắm quỳ khom gối <
> nằm ngắm doành thanh vắt vẻo vòi <
> cây biếc dưới trên che tán rợp <
> mây vàng cao thấp thắng bành ngồi <
> cưa mưa búa tuyết dầu dầu vậy <
> xương đá lòng rêu vẫn hẳn hoi

        ### Poem Analysis:
         - Emotional Tone: Melancholic (melancholy) with undertones of nostalgia.
         - Metaphor: The poet uses metaphors to describe nature as if it were alive. For example, ""tạo hóa"" means creation or birth, but here it's used to personify mountains as living beings that are being praised for their beauty.
         - Setting: The scene is set in a serene natural environment, possibly during autumn when leaves change colors.
         - Motion: There isn't","
        Cảm xúc: Melancholic (melancholy) with undertones of nostalgia.
        Ẩn dụ: The poet uses metaphors to describe nature as if it were alive. For example, ""tạo hóa"" means creation or birth, but here it's used to personify mountains as living beings that are being praised for their beauty.
        Bối cảnh: The scene is set in a serene natural environment, possibly during autumn when leaves change colors.
        Chuyển động: There isn't
        ","Cảnh: Một vườn cây autumn màu nâu vàng rụng lá. 
Cảm xúc và không khí: Hạt dẻ, yên tĩnh.
Màu sắc chủ đạo: Nâu vàng, đỏ cam.
Phong cách nghệ thuật: Phim ảnh hiện đại.",một bức tranh thiên nhiên tươi đẹp với núi voi và cây biếc,0.006990006728332351,0.33766233766233766,0.10666666666666667,0.23376623376623376
7,"
        ### Instruction:
        Analyze the given poem and extract its emotional tone, metaphor, setting, motion, and generate a prompt based on the poem.

        ### Input Poem:
        có ai muốn biết tuổi tên gì, <
> vừa chẵn hai mươi, gọi chú lỳ. <
> năm bảy bài thơ ngâm lếu láo, <
> một vài câu kệ tụng a ê! <
> tranh vờn sơn thủy màu lem luốc, <
> bầu giốc càn khôn giọng bét be. <
> miễn được ngày nào ngang dọc đã, <
> sống thì nuôi lấy, chết chôn đi!

        ### Poem Analysis:
         - Emotional Tone: The overall emotion of this poem is melancholic with hints of resignation.
         - Metaphor: There are metaphors used in the poem such as ""tranh vờn sơn thủy màu lem luốc"" which translates to painting mountains and rivers with colors of smoke and fog. This metaphor suggests that life is fleeting and ephemeral like smoke and fog.
         - Setting: Although not explicitly stated, it can be inferred that the setting is likely rural or natural environment due to","
        Cảm xúc: The overall emotion of this poem is melancholic with hints of resignation.
        Ẩn dụ: There are metaphors used in the poem such as ""tranh vờn sơn thủy màu lem luốc"" which translates to painting mountains and rivers with colors of smoke and fog. This metaphor suggests that life is fleeting and ephemeral like smoke and fog.
        Bối cảnh: Although not explicitly stated, it can be inferred that the setting is likely rural or natural environment due to
        Chuyển động: 
        ","Tranh vờn sơn thủy màu lem luốc, ánh trăng lóe, mây đen bay cao. Màu sắc chủ đạo là hồng, màu lam và đen. Phong cách nghệ thuật là lãng mạn.","Một bức tranh sơn thủy đầy màu sắc và sống động, thể hiện cuộc sống tuổi trẻ, với hình ảnh ngâm thơ và vui đùa.",0.019965747160974663,0.558139534883721,0.1904761904761905,0.3255813953488372
8,"
        ### Instruction:
        Analyze the given poem and extract its emotional tone, metaphor, setting, motion, and generate a prompt based on the poem.

        ### Input Poem:
        ác lặn, xăm xăm tới <
> gà kêu, lẻn lẻn về <
> quan ngắn hết, quan dài hết <
> ghê!... <
> <
> một năm mười hai tháng <
> một tháng ba mươi ngày <
> hũ lớn cạn, hũ bé cạn <
> say!... <
> <
> trông lên nhà đổ đoạn <
> trông xuống vách tan rồi <
> cha thế ấy, con thế ấy <
> thôi!...

        ### Poem Analysis:
         - Emotional Tone: Fearful/Frightened (due to the use of words like ""ghê"", ""say!"", and phrases that evoke fear)
         - Metaphor: None explicitly stated in this analysis.
         - Setting: A rural or countryside area with houses made from clay bricks (<ác lặn >) possibly near rivers or streams (<xăm xăm tới>)
         - Motion: The speaker is moving towards something ominous or frightening (<gà kêu, lẻn l","
        Cảm xúc: Fearful/Frightened (due to the use of words like ""ghê"", ""say!"", and phrases that evoke fear)
        Ẩn dụ: None explicitly stated in this analysis.
        Bối cảnh: A rural or countryside area with houses made from clay bricks (<ác lặn >) possibly near rivers or streams (<xăm xăm tới>)
        Chuyển động: The speaker is moving towards something ominous or frightening (<gà kêu, lẻn l
        ","Cảnh: Nông thôn với nhà đất cát. Cảm xúc: Lo âu, sợ hãi, bí ẩn. Màu sắc: Xanh lá, nâu đất, đỏ đập. Phong cách nghệ thuật: Thơ hiện đại.","Một ngôi nhà cũ với vách tường rêu phong, ánh sáng nhạt, hình ảnh một người đàn ông trầm tư.",0.007425868202031369,0.5333333333333334,0.1095890410958904,0.31999999999999995
9,"
        ### Instruction:
        Analyze the given poem and extract its emotional tone, metaphor, setting, motion, and generate a prompt based on the poem.

        ### Input Poem:
        dăm bảy năm nay những loạn ly, <
> cũng thì duyên phận, cũng thì thì. <
> ba mươi tuổi lẻ là bao nả, <
> năm sáu đời vua khéo chóng ghê! <
> một tập thơ dày ngâm sảng sảng, <
> vài nai rượu kếch ních tì tì. <
> chết về tiên bụt cho xong kiếp, <
> đù ỏa trần gian sống mãi chi!

        ### Poem Analysis:
         - Emotional Tone: The poem has an overall melancholic tone with hints of irony.
         - Metaphor: There is no explicit metaphor in this poem. However, there are metaphors implicit through imagery and symbolism (e.g., ""ba mươi tuổi lẻ là bao nả"" can be seen as a metaphor for life's burdens).
         - Setting: Although not explicitly stated, it appears to take place during a time when the poet was around their mid-to-late twenties or early","
        Cảm xúc: The poem has an overall melancholic tone with hints of irony.
        Ẩn dụ: There is no explicit metaphor in this poem. However, there are metaphors implicit through imagery and symbolism (e.g., ""ba mươi tuổi lẻ là bao nả"" can be seen as a metaphor for life's burdens).
        Bối cảnh: Although not explicitly stated, it appears to take place during a time when the poet was around their mid-to-late twenties or early
        Chuyển động: 
        ","Mái nhà cũ của tôi, tàn phai nắng vàng
Không khí buồn rầu, cảm xúc nồng nàn
Màu sắc chủ đạo: Xanh đục, vàng ươm
Phong cách nghệ thuật: Biển và bóng.","Một không gian ảm đạm, nơi những tâm tư và nỗi buồn được thể hiện qua những dòng thơ.",0.007678432706586176,0.5432098765432098,0.07594936708860758,0.29629629629629634
