poem_idx,poem,analysis,concise_analysis,generated_prompt,reference_prompt,bleu,rouge1,rouge2,rougeL
0,"đẩy hoa dun lá khỏi tay trời , <
> nghĩ lại tình duyên luống ngậm ngùi . <
> bắc yến nam hồng , thư mấy bức , <
> đông đào tây liễu , khách đôi nơi . <
> lửa ân , dập mãi sao không tắt , <
> biển ái , khơi hoài vẫn chẳng vơi . <
> đèn nguyệt trong xanh , mây chẳng bợn , <
> xin soi xét đến tấm lòng ai ...","
        ### Instruction:
        Analyze the given poem and extract its emotional tone, metaphor, setting, motion, and generate a prompt based on the poem.

        ### Input Poem:
        đẩy hoa dun lá khỏi tay trời, <
> nghĩ lại tình duyên luống ngậm ngùi. <
> bắc yến nam hồng, thư mấy bức, <
> đông đào tây liễu, khách đôi nơi. <
> lửa ân, dập mãi sao không tắt, <
> biển ái, khơi hoài vẫn chẳng vơi. <
> đèn nguyệt trong xanh, mây chẳng bợn, <
> xin soi xét đến tấm lòng ai...

        ### Poem Analysis:
         - Emotional Tone: Melancholic, nostalgic, longing.
         - Metaphor: ""pushy hoa dun lá khỏi tay trời"" (pushing away flowers from heaven's hand)
         - Setting: Heaven or heavens (heavenly realm), possibly in Vietnam culture context.
         - Motion: Pushing away, pushing back, moving forward.
         - Prompt Generation:

Prompt generation is not provided as it requires human analysis. However, I can provide you with some possible prompts that capture the","
        Cảm xúc: Melancholic, nostalgic, longing.
        Ẩn dụ: ""pushy hoa dun lá khỏi tay trời"" (pushing away flowers from heaven's hand)
        Bối cảnh: Heaven or heavens (heavenly realm), possibly in Vietnam culture context.
        Chuyển động: Pushing away, pushing back, moving forward.
        ","Hình ảnh một người đàn ông ngồi trong đám mây trắng tinh khiết, tay đặt xuống đất. Không khí buồn chán, cô đơn, màu sắc chủ đạo là màu xám và hồng. Phong cách nghệ thuật là triệt để.","Một cảnh thiên nhiên với hoa lá và ánh đèn nguyệt, thể hiện nỗi buồn về tình yêu.",0.006243702571093031,0.41860465116279066,0.047619047619047616,0.23255813953488372
1,"từ chốn thềm cung trộm dấu hương , <
> dễ xui tao khách mối sầu vương . <
> gió thông réo rắt rong đèn oán , <
> trăng hạnh chênh vênh dạng bóng dương . <
> nếu đã tình duyên dun dủi phận , <
> thì xin ân ái vẹn nên đường . <
> phong lưu đôi lứa đà ai dễ ? <
> bụi tục chi cho bợn lóa gương .","
        ### Instruction:
        Analyze the given poem and extract its emotional tone, metaphor, setting, motion, and generate a prompt based on the poem.

        ### Input Poem:
        từ chốn thềm cung trộm dấu hương, <
> dễ xui tao khách mối sầu vương. <
> gió thông réo rắt rong đèn oán, <
> trăng hạnh chênh vênh dạng bóng dương. <
> nếu đã tình duyên dun dủi phận, <
> thì xin ân ái vẹn nên đường. <
> phong lưu đôi lứa đà ai dễ? <
> bụi tục chi cho bợn lóa gương.

        ### Poem Analysis:
         - Emotional Tone: The overall emotion of this poem is melancholic with hints of longing.
         - Metaphor: There are metaphors used in the poem such as comparing wind to an arrow (gió thông réo rắt rồng) which symbolizes sorrow or regret.
         - Setting: The setting appears to be at night during autumn season when moonlight casts shadows on buildings. This creates a sense of mystery and nostalgia.
         - Motion: Motion seems to be slow-paced and contempl","
        Cảm xúc: The overall emotion of this poem is melancholic with hints of longing.
        Ẩn dụ: There are metaphors used in the poem such as comparing wind to an arrow (gió thông réo rắt rồng) which symbolizes sorrow or regret.
        Bối cảnh: The setting appears to be at night during autumn season when moonlight casts shadows on buildings. This creates a sense of mystery and nostalgia.
        Chuyển động: Motion seems to be slow-paced and contempl
        ","Gió lạnh đêm thu, bóng trăng trên nhà xế. Nỗi buồn sầu say, ánh trăng lấp lánh. Màu nâu và vàng, phong cách tối giản.","Một buổi tối trăng sáng, gió nhẹ, đôi lứa ngồi bên nhau, thể hiện nỗi buồn và tình yêu.",0.021084454569051277,0.5753424657534246,0.14084507042253522,0.273972602739726
2,"hợi sang xanh biếc ngọn đèn tàn , <
> gượng đốt lò vàng ngại với hương . <
> làn khói chập chờn vương nỗi nhớ : <
> cõi lòng thảng thốt nẫu đêm trường . <
> canh gà eo óc khua bên trướng , <
> hồi cuốc băn khoăn giục dưới tường . <
> mấy kẻ chung tình ai đã nhấp , <
> hay còn trằn trọc nỗi người thương !","
        ### Instruction:
        Analyze the given poem and extract its emotional tone, metaphor, setting, motion, and generate a prompt based on the poem.

        ### Input Poem:
        hợi sang xanh biếc ngọn đèn tàn, <
> gượng đốt lò vàng ngại với hương. <
> làn khói chập chờn vương nỗi nhớ : <
> cõi lòng thảng thốt nẫu đêm trường. <
> canh gà eo óc khua bên trướng, <
> hồi cuốc băn khoăn giục dưới tường. <
> mấy kẻ chung tình ai đã nhấp, <
> hay còn trằn trọc nỗi người thương!

        ### Poem Analysis:
         - Emotional Tone: Melancholic with hints of longing.
         - Metaphor: The lantern represents hope or guidance in darkness (e.g., ""hợi sang xanh biếc ngọn đèn tàn"").
         - Setting: A melancholic atmosphere set against a backdrop of nostalgia for something lost or forgotten.
         - Motion: Descriptive language emphasizes stillness and stagnation (""làn khói chập chờn"", ""cai gà eo óc khua bên trướng"") contrasting","
        Cảm xúc: Melancholic with hints of longing.
        Ẩn dụ: The lantern represents hope or guidance in darkness (e.g., ""hợi sang xanh biếc ngọn đèn tàn"").
        Bối cảnh: A melancholic atmosphere set against a backdrop of nostalgia for something lost or forgotten.
        Chuyển động: Descriptive language emphasizes stillness and stagnation (""làn khói chập chờn"", ""cai gà eo óc khua bên trướng"") contrasting
        ","Hợi sang xanh biếc ngọn đèn tàn, mùa thu im ắng, làn khói chập chờn, cai gà eo óc khua bên trướng. Không khí buồn rỉ, màu vàng đỏ nhạt, phong cách cổ điển.","Một đêm tĩnh lặng, ánh đèn tàn, âm thanh của khúc khải hoàn từ những nỗi nhớ.",0.011577941920572241,0.4871794871794872,0.15789473684210525,0.30769230769230765
3,"giờ tuất canh sang được mấy phần , <
> càng thêm ngao ngán bận lòng xuân . <
> nguyệt mờ trướng ngọc , khôn êm gối ! <
> gió lạnh rêm hoa ngại lẻ chân ! <
> nghĩ nỗi tình riêng khôn kẻ biết , <
> tưởng điều tâm sự , mấy người thân ? <
> bóng dâu dù tỏ dù không tỏ ! <
> tài tử giai nhân vốn nợ nần .","
        ### Instruction:
        Analyze the given poem and extract its emotional tone, metaphor, setting, motion, and generate a prompt based on the poem.

        ### Input Poem:
        giờ tuất canh sang được mấy phần, <
> càng thêm ngao ngán bận lòng xuân. <
> nguyệt mờ trướng ngọc, khôn êm gối! <
> gió lạnh rêm hoa ngại lẻ chân! <
> nghĩ nỗi tình riêng khôn kẻ biết, <
> tưởng điều tâm sự, mấy người thân? <
> bóng dâu dù tỏ dù không tỏ! <
> tài tử giai nhân vốn nợ nần.

        ### Poem Analysis:
         - Emotional Tone: Melancholic (melancholy) with hints of nostalgia.
         - Metaphor: None explicitly stated but implied through imagery and symbolism.
         - Setting: Late evening/nighttime in spring or early summer when flowers are blooming.
         - Motion: Static/stationary; however, there's an underlying sense of longing for something that cannot be reached.
         - Prompt Generation:

Prompt generation is not applicable here as this task involves analysis rather than generating text. However","
        Cảm xúc: Melancholic (melancholy) with hints of nostalgia.
        Ẩn dụ: None explicitly stated but implied through imagery and symbolism.
        Bối cảnh: Late evening/nighttime in spring or early summer when flowers are blooming.
        Chuyển động: Static/stationary; however, there's an underlying sense of longing for something that cannot be reached.
        ","Cảnh: Đêm xuân với hoa nở rộ.
Cảm xúc: Mái tóc buồn, nhạt, mơ hồ
Màu sắc: Xanh lá cây, vàng, trắng
Phong cách: Huyền bí, tinh tế","Một buổi sáng xuân lạnh lẽo, có bóng dâu và gió lạnh, thể hiện nỗi buồn và tâm sự.",0.006716472052354862,0.6052631578947368,0.1081081081081081,0.2894736842105263
4,"trời xanh cao thẳm mấy tầng khơi , <
> nỡ để duyên ai luống thiệt thòi ! <
> buồn đốt lò vàng hương nhạt khói , <
> sầu châm chén ngọc rượu không hơi . <
> lầu tây nguyệt gác mây lồng bóng , <
> ải bắc hồng sang bể tuyệt vời . <
> một mối chung tình tan mấy mảnh , <
> suối vàng , ai nhắn hộ đôi lời !","
        ### Instruction:
        Analyze the given poem and extract its emotional tone, metaphor, setting, motion, and generate a prompt based on the poem.

        ### Input Poem:
        trời xanh cao thẳm mấy tầng khơi, <
> nỡ để duyên ai luống thiệt thòi! <
> buồn đốt lò vàng hương nhạt khói, <
> sầu châm chén ngọc rượu không hơi. <
> lầu tây nguyệt gác mây lồng bóng, <
> ải bắc hồng sang bể tuyệt vời. <
> một mối chung tình tan mấy mảnh, <
> suối vàng, ai nhắn hộ đôi lời!

        ### Poem Analysis:
         - Emotional Tone: Melancholic melancholy with hints of longing.
         - Metaphor: None explicitly stated but implied through imagery and symbolism (e.g., ""trời xanh cao thẳm mấy tầng khơi"" implies depth).
         - Setting: A dreamlike or fantastical world where time stands still, possibly in a mythical realm inspired by Vietnamese culture.
         - Motion: Static or stagnant, as if frozen in time, yet there's an underlying sense of yearning for something","
        Cảm xúc: Melancholic melancholy with hints of longing.
        Ẩn dụ: None explicitly stated but implied through imagery and symbolism (e.g., ""trời xanh cao thẳm mấy tầng khơi"" implies depth).
        Bối cảnh: A dreamlike or fantastical world where time stands still, possibly in a mythical realm inspired by Vietnamese culture.
        Chuyển động: Static or stagnant, as if frozen in time, yet there's an underlying sense of yearning for something
        ","Trời xanh cao thẳm mấy tầng khơi, một thế giới ngưng trôi giữa sương mù trắng, cảm giác buồn bã sâu sắc, màu nâu nhạt, phong cách cổ điển.","Một không gian lãng mạn với bầu trời xanh, lầu tây, và một tâm trạng buồn bã.",0.008517399705356638,0.5679012345679013,0.20253164556962025,0.32098765432098764
5,"oanh ru bên trướng giấc hoa nồng , <
> say tỉnh hồn mai nhớ lại mong . <
> non nước mơ màng chừng chỉ lữ , <
> mây mưa phảng phất đỉnh vu phong . <
> quyên về viễn phố hoa rầu rĩ , <
> nhạn tếch hành dương nguyệt não nùng . <
> đàn tiếng ly loan tay ngại gẩy , <
> mối sầu ai gỡ hộ cho xong .","
        ### Instruction:
        Analyze the given poem and extract its emotional tone, metaphor, setting, motion, and generate a prompt based on the poem.

        ### Input Poem:
        oanh ru bên trướng giấc hoa nồng, <
> say tỉnh hồn mai nhớ lại mong. <
> non nước mơ màng chừng chỉ lữ, <
> mây mưa phảng phất đỉnh vu phong. <
> quyên về viễn phố hoa rầu rĩ, <
> nhạn tếch hành dương nguyệt não nùng. <
> đàn tiếng ly loan tay ngại gẩy, <
> mối sầu ai gỡ hộ cho xong.

        ### Poem Analysis:
         - Emotional Tone: Melancholic melancholy with undertones of longing.
         - Metaphor: The speaker's heart is compared to an old man who has lost his way in life. (lines 1-2)
         - Setting: A nostalgic scene set against the backdrop of a misty mountain range at dawn. (lines 3-4)
         - Motion: The speaker feels like they are wandering aimlessly through life, searching for something elusive. (lines 5-6","
        Cảm xúc: Melancholic melancholy with undertones of longing.
        Ẩn dụ: The speaker's heart is compared to an old man who has lost his way in life. (lines 1-2)
        Bối cảnh: A nostalgic scene set against the backdrop of a misty mountain range at dawn. (lines 3-4)
        Chuyển động: The speaker feels like they are wandering aimlessly through life, searching for something elusive. (lines 5-6
        ","Misty mountains at dawn, lonely figure wandering. 
Melancholic, nostalgic, longing. 
Xám, trắng, cam. 
Phong cách lãng mạn.","Một bức tranh thiên nhiên lãng mạn với hoa nở, mây mưa và âm thanh của đàn, thể hiện nỗi buồn trong tình yêu.",0.007620365649918418,0.19672131147540986,0.1016949152542373,0.19672131147540986
6,"tạo hóa khen thay khéo vẽ vời <
> dạm nên một rặng núi con voi <
> tới chầu điện ngắm quỳ khom gối <
> nằm ngắm doành thanh vắt vẻo vòi <
> cây biếc dưới trên che tán rợp <
> mây vàng cao thấp thắng bành ngồi <
> cưa mưa búa tuyết dầu dầu vậy <
> xương đá lòng rêu vẫn hẳn hoi","
        ### Instruction:
        Analyze the given poem and extract its emotional tone, metaphor, setting, motion, and generate a prompt based on the poem.

        ### Input Poem:
        tạo hóa khen thay khéo vẽ vời <
> dạm nên một rặng núi con voi <
> tới chầu điện ngắm quỳ khom gối <
> nằm ngắm doành thanh vắt vẻo vòi <
> cây biếc dưới trên che tán rợp <
> mây vàng cao thấp thắng bành ngồi <
> cưa mưa búa tuyết dầu dầu vậy <
> xương đá lòng rêu vẫn hẳn hoi

        ### Poem Analysis:
         - Emotional Tone: Melancholic/Melodious (reflecting sadness but with an air of serenity)
         - Metaphor: Mountain range as a majestic entity that has witnessed countless moments in history.
         - Setting: A serene landscape set amidst nature's splendor, evoking feelings of peace and tranquility.
         - Motion: Static/Static (the scene is static, frozen in time).
         - Prompt Generation:

Prompt generation prompts are generated to encourage creativity and imagination. Here","
        Cảm xúc: Melancholic/Melodious (reflecting sadness but with an air of serenity)
        Ẩn dụ: Mountain range as a majestic entity that has witnessed countless moments in history.
        Bối cảnh: A serene landscape set amidst nature's splendor, evoking feelings of peace and tranquility.
        Chuyển động: Static/Static (the scene is static, frozen in time).
        ","Mặc định một dãy núi có cảnh quan tuyệt đẹp, rộng lớn, bao quát trong xanh
Kích động cảm giác hoà nhịp, yên bình, thư giãn
Màu sắc thiên nhiên: Xanh lá cây, màu đất, trời trời
Phong cách tự nhiên",một bức tranh thiên nhiên tươi đẹp với núi voi và cây biếc,0.006369304104455854,0.38202247191011235,0.13793103448275862,0.2696629213483146
7,"có ai muốn biết tuổi tên gì , <
> vừa chẵn hai mươi , gọi chú lỳ . <
> năm bảy bài thơ ngâm lếu láo , <
> một vài câu kệ tụng a ê ! <
> tranh vờn sơn thủy màu lem luốc , <
> bầu giốc càn khôn giọng bét be . <
> miễn được ngày nào ngang dọc đã , <
> sống thì nuôi lấy , chết chôn đi !","
        ### Instruction:
        Analyze the given poem and extract its emotional tone, metaphor, setting, motion, and generate a prompt based on the poem.

        ### Input Poem:
        có ai muốn biết tuổi tên gì, <
> vừa chẵn hai mươi, gọi chú lỳ. <
> năm bảy bài thơ ngâm lếu láo, <
> một vài câu kệ tụng a ê! <
> tranh vờn sơn thủy màu lem luốc, <
> bầu giốc càn khôn giọng bét be. <
> miễn được ngày nào ngang dọc đã, <
> sống thì nuôi lấy, chết chôn đi!

        ### Poem Analysis:
         - Emotional Tone: The overall emotion of this poem is melancholic with hints of resignation.
         - Metaphor: There are metaphors used in the poem such as ""tranh vờn sơn thủy màu lem luốc"" which means painting mountains and rivers with colors of smoke and fog. This metaphor creates an atmosphere that evokes feelings of sadness and longing.
         - Setting: Although not explicitly stated, it can be inferred that the scene takes place outdoors during daytime or early evening when the","
        Cảm xúc: The overall emotion of this poem is melancholic with hints of resignation.
        Ẩn dụ: There are metaphors used in the poem such as ""tranh vờn sơn thủy màu lem luốc"" which means painting mountains and rivers with colors of smoke and fog. This metaphor creates an atmosphere that evokes feelings of sadness and longing.
        Bối cảnh: Although not explicitly stated, it can be inferred that the scene takes place outdoors during daytime or early evening when the
        Chuyển động: 
        ","Một bức tranh sơn thủy mờ ốp lấp màu nâu và xám với ánh nắng vàng lóe giữa. Cảm xúc buồn rầu, không khí yên lặng. Phong cách: Đồ họa tự nhiên.","Một bức tranh sơn thủy đầy màu sắc và sống động, thể hiện cuộc sống tuổi trẻ, với hình ảnh ngâm thơ và vui đùa.",0.12212865548711091,0.5806451612903226,0.2417582417582418,0.3870967741935484
8,"ác lặn , xăm xăm tới <
> gà kêu , lẻn lẻn về <
> quan ngắn hết , quan dài hết <
> ghê ! ... <
> <
> một năm mười hai tháng <
> một tháng ba mươi ngày <
> hũ lớn cạn , hũ bé cạn <
> say ! ... <
> <
> trông lên nhà đổ đoạn <
> trông xuống vách tan rồi <
> cha thế ấy , con thế ấy <
> thôi ! ...","
        ### Instruction:
        Analyze the given poem and extract its emotional tone, metaphor, setting, motion, and generate a prompt based on the poem.

        ### Input Poem:
        ác lặn, xăm xăm tới <
> gà kêu, lẻn lẻn về <
> quan ngắn hết, quan dài hết <
> ghê!... <
> <
> một năm mười hai tháng <
> một tháng ba mươi ngày <
> hũ lớn cạn, hũ bé cạn <
> say!... <
> <
> trông lên nhà đổ đoạn <
> trông xuống vách tan rồi <
> cha thế ấy, con thế ấy <
> thôi!...

        ### Poem Analysis:
         - Emotional Tone: Fearful/Frightened (due to the use of words like ""ghê"", ""say!"", and phrases that evoke fear)
         - Metaphor: None explicitly stated but there are metaphors implied through imagery such as comparing houses falling apart (""trông lên nhà đổ đoạn"") or walls crumbling (""trông xuống vách tan rồi"")
         - Setting: Uncertain/Unstable Environment (implied by the use of words like ""ghê"" and descriptions of decay","
        Cảm xúc: Fearful/Frightened (due to the use of words like ""ghê"", ""say!"", and phrases that evoke fear)
        Ẩn dụ: None explicitly stated but there are metaphors implied through imagery such as comparing houses falling apart (""trông lên nhà đổ đoạn"") or walls crumbling (""trông xuống vách tan rồi"")
        Bối cảnh: Uncertain/Unstable Environment (implied by the use of words like ""ghê"" and descriptions of decay
        Chuyển động: 
        ","Hàng râu rê rắt trước mái nhà đổ đoạn, ánh nắng chói sáng trên vách tan rồi. Không khí đầy sợ hãi, màu sắc đậm đà, phong cách nghệ thuật: Biết bao.","Một ngôi nhà cũ với vách tường rêu phong, ánh sáng nhạt, hình ảnh một người đàn ông trầm tư.",0.00825101291002796,0.617283950617284,0.17721518987341772,0.2962962962962962
9,"dăm bảy năm nay những loạn ly , <
> cũng thì duyên phận , cũng thì thì . <
> ba mươi tuổi lẻ là bao nả , <
> năm sáu đời vua khéo chóng ghê ! <
> một tập thơ dày ngâm sảng sảng , <
> vài nai rượu kếch ních tì tì . <
> chết về tiên bụt cho xong kiếp , <
> đù ỏa trần gian sống mãi chi !","
        ### Instruction:
        Analyze the given poem and extract its emotional tone, metaphor, setting, motion, and generate a prompt based on the poem.

        ### Input Poem:
        dăm bảy năm nay những loạn ly, <
> cũng thì duyên phận, cũng thì thì. <
> ba mươi tuổi lẻ là bao nả, <
> năm sáu đời vua khéo chóng ghê! <
> một tập thơ dày ngâm sảng sảng, <
> vài nai rượu kếch ních tì tì. <
> chết về tiên bụt cho xong kiếp, <
> đù ỏa trần gian sống mãi chi!

        ### Poem Analysis:
         - Emotional Tone: The overall emotion of this poem is melancholic with hints of irony.
         - Metaphor: There are metaphors in the poem such as ""ba mươi tuổi lẻ là bao nả"" which means that thirty years old is burdened by many troubles. Another example is ""đùa về tiên bụt cho xong kiếp"", where death is personified as an end to one's life cycle.
         - Setting: Although not explicitly stated, it can be inferred","
        Cảm xúc: The overall emotion of this poem is melancholic with hints of irony.
        Ẩn dụ: There are metaphors in the poem such as ""ba mươi tuổi lẻ là bao nả"" which means that thirty years old is burdened by many troubles. Another example is ""đùa về tiên bụt cho xong kiếp"", where death is personified as an end to one's life cycle.
        Bối cảnh: Although not explicitly stated, it can be inferred
        Chuyển động: 
        ","Một người già ngồi trong đêm, màu sắc tối, sự cô đơn và buồn rầu.","Một không gian ảm đạm, nơi những tâm tư và nỗi buồn được thể hiện qua những dòng thơ.",0.013323934178453772,0.5384615384615384,0.11999999999999998,0.38461538461538464
